City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income,log_price
Toronto,1099000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,6.040997692423491
Toronto,948800.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,5.977174676020187
Toronto,2379000.0,6,7,ON,5647656,43.7417,-79.3733,97000.0,6.376394442037267
Toronto,839999.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.924278769044333
Toronto,1795000.0,3,1,ON,5647656,43.7417,-79.3733,97000.0,6.254064452914338
Toronto,739000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.868644438394826
Toronto,839999.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.924278769044333
Toronto,649800.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.812779707008964
Toronto,549000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.739572344450092
Toronto,1149900.0,2,3,ON,5647656,43.7417,-79.3733,97000.0,6.060660073974015
Toronto,12750000.0,4,7,ON,5647656,43.7417,-79.3733,97000.0,7.105510184769974
Toronto,699800.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.844973938146888
Toronto,3798000.0,5,5,ON,5647656,43.7417,-79.3733,97000.0,6.579554960400999
Toronto,699900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.845035993513415
Toronto,1250000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0,6.096910013008056
Toronto,1449000.0,5,4,ON,5647656,43.7417,-79.3733,97000.0,6.161068385471174
Toronto,519888.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.715909793209828
Toronto,1189000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,6.075181854618692
Toronto,618900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0,5.791620482692814
Toronto,565000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.752048447819439
Toronto,545000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0,5.7363965022766426
Toronto,1345000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.128722284338426
Toronto,1999000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0,6.300812794118117
Toronto,1100000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.041392685158225
Toronto,2199888.0,6,4,ON,5647656,43.7417,-79.3733,97000.0,6.3424005707221385
Toronto,899000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0,5.953759691733229
Toronto,749000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.874481817699467
Toronto,2229000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0,6.348110068480238
Toronto,689000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.838219221907626
Toronto,1138000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.056142262059052
Toronto,999000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.999565488225983
Toronto,725000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,5.860338006570994
Toronto,1100000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0,6.041392685158225
