,City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
163,Toronto,599000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
164,Toronto,1095000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
165,Toronto,899000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
166,Toronto,8478000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
167,Toronto,585000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
168,Toronto,2550000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
169,Toronto,1495000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
170,Toronto,1300000.0,2,3,ON,5647656,43.7417,-79.3733,97000.0
171,Toronto,2095000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
172,Toronto,595500.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
173,Toronto,819800.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
174,Toronto,755000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
175,Toronto,918000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
176,Toronto,749000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
177,Toronto,2488888.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
178,Toronto,1199000.0,5,2,ON,5647656,43.7417,-79.3733,97000.0
179,Toronto,448800.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
180,Toronto,788000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
181,Toronto,697000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
182,Toronto,709000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
183,Toronto,899900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
184,Toronto,1850000.0,5,5,ON,5647656,43.7417,-79.3733,97000.0
185,Toronto,1549000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
186,Toronto,569000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
187,Toronto,1039000.0,3,1,ON,5647656,43.7417,-79.3733,97000.0
188,Toronto,1799000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
189,Toronto,899000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
190,Toronto,599000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
191,Toronto,738000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
192,Toronto,619990.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
193,Toronto,1150000.0,3,1,ON,5647656,43.7417,-79.3733,97000.0
194,Toronto,3495000.0,5,6,ON,5647656,43.7417,-79.3733,97000.0
195,Toronto,2588168.0,4,5,ON,5647656,43.7417,-79.3733,97000.0
196,Toronto,1699000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0
197,Toronto,1699000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0
198,Toronto,1250000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
199,Toronto,799999.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
200,Toronto,2449000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
201,Toronto,699000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
202,Toronto,1139900.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
203,Toronto,1199000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0
204,Toronto,719000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
205,Toronto,515000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
206,Toronto,1499000.0,3,4,ON,5647656,43.7417,-79.3733,97000.0
207,Toronto,1599000.0,5,4,ON,5647656,43.7417,-79.3733,97000.0
208,Toronto,729000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
209,Toronto,1390000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
210,Toronto,558900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
211,Toronto,499000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
212,Toronto,1799000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
213,Toronto,579900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
214,Toronto,1089000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
215,Toronto,899000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
216,Toronto,865000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
217,Toronto,899900.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
218,Toronto,599900.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
219,Toronto,2495000.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
220,Toronto,799900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
221,Toronto,799000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
222,Toronto,549000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
223,Toronto,1549000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
224,Toronto,1190000.0,4,2,ON,5647656,43.7417,-79.3733,97000.0
225,Toronto,749900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
226,Toronto,625000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
227,Toronto,2799000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
228,Toronto,809000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
229,Toronto,779000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
230,Toronto,2750000.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
231,Toronto,799000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
232,Toronto,679000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
233,Toronto,5899000.0,5,5,ON,5647656,43.7417,-79.3733,97000.0
234,Toronto,1200000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
235,Toronto,3999000.0,4,4,ON,5647656,43.7417,-79.3733,97000.0
236,Toronto,849900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
237,Toronto,649000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
238,Toronto,3500000.0,6,4,ON,5647656,43.7417,-79.3733,97000.0
239,Toronto,749000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
240,Toronto,2665000.0,6,5,ON,5647656,43.7417,-79.3733,97000.0
241,Toronto,915000.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
242,Toronto,729888.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
243,Toronto,819900.0,3,2,ON,5647656,43.7417,-79.3733,97000.0
244,Toronto,739000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
245,Toronto,3288000.0,6,5,ON,5647656,43.7417,-79.3733,97000.0
246,Toronto,850000.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
247,Toronto,2028900.0,3,3,ON,5647656,43.7417,-79.3733,97000.0
248,Toronto,899888.0,4,3,ON,5647656,43.7417,-79.3733,97000.0
249,Toronto,1250000.0,5,3,ON,5647656,43.7417,-79.3733,97000.0
250,Toronto,499000.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
251,Toronto,836000.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
252,Toronto,1499000.0,6,2,ON,5647656,43.7417,-79.3733,97000.0
253,Toronto,799888.0,1,1,ON,5647656,43.7417,-79.3733,97000.0
254,Toronto,850900.0,2,1,ON,5647656,43.7417,-79.3733,97000.0
255,Toronto,740900.0,2,2,ON,5647656,43.7417,-79.3733,97000.0
